country,scoreAvg,scoreRankAvg,universityCount,studentAvg,studentToStaffAvg,intlStudentAvg,femalePercentageAvg,malePercentageAvg,TeachingAvg,researchAvg,citationAvg,industryIncomeAvg,intlOutlookAvg,Health
Singapore,77.4,33,2,27978.5,16.9,0.28,0.50,0.51,67.2,80.4,80.9,67.65,95.3,Healthy
Hong Kong,62.41666667,97.33333333,6,14243.16667,17.46666667,0.37,0.38,0.28,48.76666667,53.93333333,76.4,54.98333333,97.56666667,Healthy
Netherlands,61.49230769,86.69230769,13,19599.15385,18.51538462,0.22,0.48,0.45,42.70769231,55.58461538,80.23076923,72.95384615,81.39230769,Healthy
Switzerland,57.39090909,131.3636364,11,11755.90909,14.67272727,0.33,0.45,0.46,42.25454545,43.57272727,76.82727273,60.94545455,94.22727273,Healthy
Belgium,54.3125,138.375,8,23646.5,33.075,0.19,0.53,0.47,37.4875,48.1875,71.075,72.675,72.8125,Healthy
Luxembourg,53.7,133,1,4654,18.7,0.49,0.51,0.49,37.9,36.5,75.8,45.2,99.7,Healthy
Denmark,51.62857143,155.7142857,7,18235.14286,14.27142857,0.17,0.44,0.42,31.61428571,38.65714286,77.5,55.12857143,79.04285714,Healthy
Germany,51.31875,164.4375,48,24539.14583,44.00208333,0.16,0.47,0.49,41.15833333,40.96666667,68.875,64.35833333,58.81875,Healthy
Sweden,51.11666667,166.4166667,12,15596,12.93333333,0.14,0.46,0.38,31.95833333,39.225,77.70833333,56.53333333,67.13333333,Healthy
United States,50.10813953,194.244186,172,22829.1686,14.8744186,0.13,0.49,0.47,41.15930233,36.82383721,73.15581395,44.92732558,48.54069767,Healthy
Australia,49.71714286,178.5142857,35,23652.05714,29.33142857,0.28,0.55,0.43,29.69428571,35.64857143,75,50.12285714,84.86,Healthy
Macao,47.3,185.5,2,9632,19.4,0.58,0.57,0.44,29.7,27.5,72.45,37.9,99.05,Healthy
Norway,46.42,200,5,18447.2,12.16,0.14,0.58,0.42,28.66,26,78.92,38.44,71.78,Healthy
Canada,46.05333333,216.8,30,27681.66667,22.82666667,0.19,0.50,0.40,33.63333333,34.74,62.88,48.04333333,73.05333333,Healthy
Finland,44.95555556,213.2222222,9,11473.66667,20.27777778,0.11,0.47,0.42,30.14444444,35.17777778,66.41111111,42.95555556,58.1,Healthy
Iceland,44.6,211.5,2,5507,19.4,0.10,0.54,0.46,16.95,24.1,87.5,49.6,63.85,Healthy
United Kingdom,43.945,237.66,100,16552.54,16.266,0.28,0.56,0.44,29.07,29.147,64.927,37.956,80.614,Healthy
Ireland,43.73333333,222.2222222,9,13718.44444,22.74444444,0.24,0.42,0.36,25.74444444,28.01111111,67.81111111,41.54444444,83.15555556,Healthy
Austria,43.47272727,225,11,10101.45455,14.1,0.25,0.49,0.51,31.25454545,23.62727273,65.3,51.39090909,81.69090909,Healthy
New Zealand,43.375,225.625,8,16325.5,17.9875,0.29,0.56,0.44,24.5875,27.3125,65.8625,46.025,91.825,Healthy
Cyprus,43.1,226.5,2,4931.5,19.7,0.10,0.60,0.40,20.6,20.45,80.15,41.5,76.5,Healthy
Israel,42.55,233.6666667,6,15508.16667,23.6,0.08,0.54,0.46,32.1,34.4,58.31666667,39.5,55.11666667,Healthy
Brunei Darussalam,42.3,234,1,3830,10.9,0.15,0.67,0.33,23,19.3,74.4,34.8,85.8,Healthy
Qatar,42.2,235,1,15585,17.3,0.38,0.76,0.24,19.6,27.2,64.7,49.3,99.6,Healthy
Italy,40.76888889,249.9777778,45,24062.57778,25.80222222,0.07,0.55,0.45,27.68222222,23.15777778,70.74,42.72888889,42.93333333,Healthy
France,40.41578947,257.6315789,38,29544.26316,19,0.21,0.48,0.52,32.78684211,25.33947368,56.11315789,46.15789474,66.55789474,Healthy
South Africa,38.15,276.2,10,47144.6,39.44,0.08,0.58,0.42,23.9,26.84,57.72,51.02,57.88,need to Improve
Saudi Arabia,37.72857143,278,7,22372.57143,8.428571429,0.13,0.51,0.49,24.78571429,14.6,61.24285714,54.6,82.08571429,need to Improve
United Arab Emirates,36.175,292.25,4,7778,13.375,0.48,0.63,0.38,22.525,19.65,50.125,54.775,95.225,need to Improve
Jamaica,36,295,1,23305,22.2,0.01,0.71,0.29,17.8,11.1,73.4,38.9,57.2,need to Improve
Uganda,35.1,303,1,34651,23.6,0.08,0.45,0.55,16.7,12.7,69.6,40.9,58.7,need to Improve
Costa Rica,34.8,306,1,33900,15.1,0.02,0.53,0.47,16.2,7.9,77.1,34.4,48.2,need to Improve
South Korea,34.61290323,313.3870968,31,15803.80645,16.87419355,0.10,0.34,0.43,31.29677419,31.16129032,38.67096774,60.51290323,36.78709677,need to Improve
China,33.04938272,328.6049383,81,31835.71605,14.33580247,0.06,0.34,0.40,28.68888889,24.62222222,44.05432099,60.43333333,31.02222222,need to Improve
Estonia,31.63333333,335.6666667,3,8702.666667,20.2,0.11,0.61,0.39,20.43333333,20.13333333,46.56666667,41,59.53333333,need to Improve
Portugal,31.44615385,338.0769231,13,16560.61538,17.50769231,0.12,0.53,0.47,21.47692308,20.38461538,46.84615385,39.99230769,51.22307692,need to Improve
Lebanon,31.43333333,338.3333333,3,7944.333333,13.76666667,0.15,0.55,0.45,28.46666667,11.8,42.06666667,35.76666667,77.86666667,need to Improve
Philippines,31.2,339.5,2,27740.5,13.1,0.02,0.54,0.46,20.6,15.05,56.65,36.9,34.3,need to Improve
Spain,30.79777778,344.8222222,45,24201.17778,16.82222222,0.10,0.54,0.46,23.28888889,17.18222222,47.56666667,38.95333333,45.36666667,need to Improve
Nigeria,30.625,345.75,4,25924.75,16.4,0.01,0.47,0.53,22.275,11.1,58.325,38.725,28.625,need to Improve
Greece,30.61,345.9,10,24927.4,34.55,0.05,0.52,0.48,18.12,16.18,53.75,43.7,41.43,need to Improve
Peru,30.45,347,2,15610,9.05,0.02,0.57,0.44,18.45,9.95,58.45,35.3,46.9,need to Improve
Malta,28.8,363,1,11772,13,0.09,0.58,0.42,16.9,13.7,48.1,34.7,57.9,need to Improve
Sri Lanka,27.9,372.5,2,19902,20.2,0.01,0.61,0.39,15,7.8,56.95,35.1,40.75,need to Improve
Malaysia,27.8,372.8461538,13,17742.23077,13.70769231,0.12,0.56,0.44,26.10769231,19.16923077,31.55384615,45.75384615,47.98461538,need to Improve
Kenya,26.3,388,1,69456,39.3,0.01,0.36,0.64,14.6,10.2,48.3,34.8,47,need to Improve
Slovenia,26.25,387,2,26117,14.15,0.06,0.58,0.43,19.05,17.25,37.9,39.85,40.1,need to Improve
India,26.175,388.2678571,56,11359.14286,15.15714286,0.02,0.33,0.65,29.08214286,15.72321429,34.0375,44.71607143,18.66607143,need to Improve
Hungary,25.95,390.375,8,17808.625,15.125,0.16,0.55,0.45,20.075,13.6375,36.8,37.1,51.6375,need to Improve
Iran,25.905,390.85,40,12201.4,21.905,0.01,0.53,0.47,24.6125,16.58,36.77,46.6425,17.96,need to Improve
Puerto Rico,25.2,398,1,49713,13.9,0.01,0.58,0.42,18.1,8.5,43.7,34.9,43.7,need to Improve
Northern Cyprus,25.1,399,1,18865,27.1,0.83,0.41,0.59,17,11.7,30.6,34.4,86.6,need to Improve
Egypt,24.99,399.3,20,106685.15,26.76,0.02,0.51,0.49,16.715,9.625,43.075,35.775,43.615,need to Improve
Taiwan,24.96111111,400.7777778,36,12106.08333,19.16388889,0.09,0.45,0.52,22.55555556,24.525,23.53055556,57.88611111,31.01388889,need to Improve
Jordan,24.92,400.8,5,27386.4,21.96,0.11,0.61,0.39,17.14,9.54,39.46,38,55.1,need to Improve
Croatia,24.85,400,2,44129.5,20.7,0.03,0.30,0.21,16.75,12.6,41.05,38.75,37.15,need to Improve
Kuwait,24.4,406,1,36551,23.6,0.15,0.75,0.25,19.1,9.9,31.7,37.4,69.9,need to Improve
Chile,23.81111111,410.8333333,18,19150.66667,20.33333333,0.02,0.47,0.48,15.7,12.72222222,35.11666667,40.62777778,49.77777778,need to Improve
Russian Federation,23.8025641,411.4871795,39,14666.79487,10.8,0.13,0.42,0.48,26.6025641,17.44871795,21.65641026,53.57948718,36.7025641,need to Improve
Japan,23.47545455,415.6727273,110,10752.43636,11.53636364,0.04,0.36,0.63,25.26636364,15.99909091,27.09090909,42.75909091,25.32636364,need to Improve
Ghana,22.7,421,1,36819,28.7,0.01,0.45,0.55,15.6,15.5,28.1,48,49.5,need to Improve
Oman,22.7,421,1,6823,7.4,0.04,0.50,0.50,23.8,10.6,19.1,47.4,73.1,need to Improve
Colombia,22.45,423.75,8,24947.375,18.1875,0.01,0.50,0.50,16.95,11.95,32.0875,36.175,43.3125,need to Improve
Czech Republic,21.68235294,431.0588235,17,14723.64706,15.92941176,0.14,0.55,0.45,19.93529412,15.85294118,22.01176471,38.27647059,45.15294118,need to Improve
Vietnam,21.66666667,432,3,42861.33333,18.83333333,0.01,0.26,0.41,16.9,8.733333333,32.36666667,38.83333333,44.1,need to Improve
Pakistan,21.45,433.9285714,14,17718.78571,24.23571429,0.01,0.42,0.58,16.97142857,10.90714286,30.7,35.65714286,39.68571429,need to Improve
Turkey,21.25882353,435.5882353,34,56781.64706,40.08529412,0.04,0.47,0.53,19.12941176,14.42941176,26.50294118,48.5,27.10882353,need to Improve
Iraq,21.25,435.5,2,38424.5,8.35,0.00,0.60,0.41,20,7.4,31.9,34.9,34.3,need to Improve
Morocco,21.175,435.5,4,96193.75,46,0.03,0.52,0.48,21.825,8.4,29.35,36.95,31.725,need to Improve
Poland,20.72857143,440.0714286,14,27747.14286,15.04285714,0.04,0.52,0.41,18.39285714,12.35714286,28.07857143,36.4,28.79285714,need to Improve
Lithuania,20.7,441,3,11907.66667,13.2,0.08,0.50,0.50,17.53333333,12.7,24.8,42.06666667,41.86666667,need to Improve
Kazakhstan,20.2,444.5,2,19171.5,5.45,0.08,0.28,0.23,22.95,8.55,18.65,38.6,56.1,need to Improve
Brazil,19.98695652,447.6086957,46,27438.06522,15.49347826,0.01,0.49,0.47,23.05869565,13.25434783,21.27391304,39.08478261,23.12391304,Unhealthy
Indonesia,19.68333333,450.3333333,6,31125,11.81666667,0.04,0.50,0.50,23.11666667,12.85,14.88333333,67.08333333,36.7,Unhealthy
Thailand,19.68125,450.625,16,30330.9375,19.75,0.02,0.60,0.40,19.73125,12.7125,20.9125,50.24375,32.16875,Unhealthy
Latvia,19.6,451,3,9129.333333,33.26666667,0.06,0.52,0.48,17.96666667,18.13333333,16.56666667,44.66666667,36.16666667,Unhealthy
Nepal,19,456,1,418053,36,0.00,0.45,0.55,11.4,6.9,30.8,34.4,45.8,Unhealthy
Belarus,18.7,459,1,27101,8.4,0.09,0.55,0.45,21.3,9.7,13.3,42.4,58.1,Unhealthy
Tunisia,18.68333333,459.3333333,6,26976.33333,11.33333333,0.01,0.67,0.33,22.78333333,8.833333333,17.6,34.46666667,40.7,Unhealthy
Algeria,18.1625,465.875,8,35610.25,21.6125,0.01,0.60,0.40,18.325,7.5375,22.5125,34.7,36.9125,Unhealthy
